1,442368
2,13078
3,12696
4,14508
5,11262
6,13378
7,11517
8,8930
9,11947
10,11838
11,19212
12,22039
13,16287
14,20457
15,22255
16,23855
17,23406
18,24190
19,23683
20,23928
21,24265
22,23733
23,22773
24,25519
25,24475
26,23660
27,21374
28,20026
29,19077
30,18058
31,17213
32,16129
33,15896
34,15156
35,14696
36,15764
37,14341
38,12975
39,15156
40,19190
41,22608
42,22261
43,23929
44,21807
45,21972
46,21084
47,22008
48,17131
49,20934
50,20883
51,20816
52,18014
53,17735
54,18220
55,19612
56,20497
57,15632
58,18934
59,17158
60,17227
61,17852
62,16759
63,16923
64,20363
65,18643
66,18188
67,18160
68,17095
69,18514
70,16762
71,18635
72,18202
73,17318
74,17342
75,18004
76,17021
77,17634
78,17448
79,17293
80,19764
81,16774
82,16105
83,16988
84,19327
85,21785
86,23948
87,22491
88,24188
89,32370
90,34253
91,33020
92,22887
93,18017
94,20870
95,20297
96,19252
97,14363
98,15004
99,15807
100,15861
101,14700
102,17051
103,19180
104,14107
105,15924
106,15811
107,15747
108,15691
109,15695
110,12813
111,16696
112,18551
113,17682
114,16294
115,18282
116,20792
117,24567
118,21851
119,19892
120,20233
121,20311
122,17943
123,19796
124,19390
125,18264
126,17436
127,18058
128,17436
129,19190
130,16768
131,14078
132,16120
133,18118
134,19244
135,21049
136,22752
137,21005
138,18579
139,22802
140,20406
141,19144
142,19724
143,23078
144,21351
145,21548
146,21308
147,21768
148,22406
149,20566
150,17840
151,18063
152,16848
153,17336
154,19829
155,16872
156,20096
157,21949
158,22913
159,21454
160,21664
161,21069
162,20960
163,18969
164,19167
165,21001
166,20792
167,21781
168,23724
169,25979
170,25315
171,26892
172,27482
173,26355
174,27103
175,26116
176,25904
177,26991
178,27469
179,27707
180,28532
181,26792
182,26461
183,26583
184,30135
185,30940
186,30335
187,29939
188,31130
189,29970
190,29986
191,31325
192,33273
193,33016
194,34220
195,35802
196,33807
197,32820
198,31824
199,32313
200,31626
201,33403
202,33546
203,34774
204,35769
205,37268
206,38130
207,39672
208,37079
209,39105
210,39698
211,38620
212,34902
213,36953
214,36624
215,40465
216,40479
217,40617
218,42916
219,44084
220,41403
221,46263
222,42689
223,43593
224,45752
225,45210
226,35707
227,38325
228,38437
229,41958
230,38156
231,38332
232,38198
233,39831
234,38101
235,40557
236,34588
237,34942
238,35087
239,36845
240,36078
241,35117
242,35429
243,34862
244,33316
245,33470
246,36406
247,35609
248,33224
249,34500
250,35253
251,36057
252,36086
253,36733
254,38926
255,38654
256,35518
257,33039
258,32492
259,32451
260,32200
261,31589
262,30193
263,28616
264,29085
265,28965
266,29983
267,29367
268,30069
269,30069
270,30388
271,32862
272,32491
273,31600
274,27904
275,29968
276,29631
277,31111
278,31270
279,33468
280,36748
281,34553
282,35658
283,31901
284,31956
285,32431
286,34949
287,38053
288,36589
289,33249
290,40074
291,41083
292,29809
293,29645
294,33998
295,30091
296,35063
297,46157
298,49153
299,45560
300,42962
301,38014
302,44047
303,36622
304,30400
305,29729
306,30537
307,30030
308,27291
309,32485
310,29303
